Round,Date,Team 1,FT,Team 2
1,Sat Aug 17 2013,Real Sociedad,2-0,Getafe CF
1,Sat Aug 17 2013,Real Valladolid CF,1-2,Athletic Club Bilbao
1,Sat Aug 17 2013,Valencia CF,1-0,Málaga CF
1,Sun Aug 18 2013,Sevilla FC,1-3,Atlético Madrid
1,Sun Aug 18 2013,CA Osasuna,1-2,Granada CF
1,Sun Aug 18 2013,FC Barcelona,7-0,Levante UD
1,Sun Aug 18 2013,Real Madrid,2-1,Real Betis
1,Mon Aug 19 2013,UD Almería,2-3,Villarreal CF
1,Mon Aug 19 2013,Rayo Vallecano,3-0,Elche CF
1,Mon Aug 19 2013,RC Celta Vigo,2-2,RCD Espanyol
2,Fri Aug 23 2013,Getafe CF,2-2,UD Almería
